schluessel,laender,arbeitslos.gsamt,arbeitslos.ausld,arbeitslos.bhdt,arbeitslos.15bis20,arbeitslos15bis25,arbeitslos.55bis65,arbeitslos.langzeit
01053129,        Wentorf bei Hamburg,222,31,6,5,21,41,66
01053130,        Wentorf (Amt Sandesneben),11,0,1,0,1,4,3
01053131,        Wiershop,2,0,-,0,0,0,-
01053132,        Witzeeze,17,1,1,1,2,4,7
01053133,        Wohltorf,30,2,2,0,3,6,8
01053134,        Woltersdorf,10,0,-,0,1,2,3
01053135,        Worth,2,0,-,0,0,0,-
01053136,        Ziethen,11,2,-,1,4,0,3
01054,"      Nordfriesland, Landkreis",5868,357,231,104,577,1274,2221
01054001,        Achtrup,44,0,-,1,5,7,16
01054002,        Ahrenshöft,10,1,1,0,2,4,1
01054003,        Ahrenviöl,24,0,-,1,4,6,8
01054004,        Ahrenviölfeld,10,0,-,0,0,1,5
01054005,        Alkersum,11,1,-,0,1,4,2
01054006,        Almdorf,22,0,1,0,2,6,6
01054007,        Arlewatt,6,0,1,0,0,2,3
01054009,        Aventoft,11,0,-,0,1,2,3
01054010,        Bargum,13,0,1,0,1,2,5
01054011,        Behrendorf,14,0,-,0,1,7,6
01054012,        Bohmstedt,22,1,2,1,3,6,6
01054013,        Bondelum,6,0,-,0,1,2,3
01054014,        Bordelum,78,2,3,1,8,16,29
01054015,        Borgsum,3,0,-,0,0,0,-
01054016,        Bosbüll,6,0,-,0,0,1,2
01054017,        Braderup,15,0,-,0,2,5,4
01054018,        Bramstedtlund,6,0,-,0,1,2,3
01054019,        Bredstedt,237,5,7,5,27,48,105
01054020,        Breklum,62,0,1,2,6,11,19
01054022,        Dagebüll,22,1,1,1,4,8,8
01054023,        Drage,13,0,-,0,1,4,6
01054024,        Drelsdorf,35,0,3,1,5,8,10
01054025,        Dunsum,1,0,-,0,0,0,-
01054026,        Elisabeth-Sophien-Koog,1,0,-,0,0,0,1
01054027,        Ellhöft,3,0,-,0,0,2,2
01054032,        Fresendelf,4,0,-,0,0,2,3
01054033,        Friedrichstadt,151,6,4,2,11,33,77
01054034,        Friedrich-Wilhelm-Lübke-Koog,3,0,1,0,0,1,1
01054035,"        Garding, Kirchspiel",3,0,-,0,1,0,-
01054036,        Garding,141,2,8,2,9,32,52
01054037,        Goldebek,8,0,-,1,1,1,2
01054038,        Goldelund,16,0,-,0,1,2,7
01054039,        Gröde,-,-,-,-,-,-,-
01054040,        Grothusenkoog,-,-,-,-,-,-,-
01054041,        Haselund,27,0,3,0,3,6,15
01054042,        Hattstedt,68,1,3,0,7,14,28
01054043,        Hattstedtermarsch,7,0,-,0,1,2,1
01054045,        Högel,9,0,-,1,1,2,3
01054046,        Hörnum (Sylt),21,1,-,0,1,7,2
01054048,        Holm,1,0,-,0,0,0,-
01054050,        Hallig Hooge,2,0,-,0,0,0,-
01054052,        Horstedt,20,0,1,0,1,7,8
01054054,        Hude,4,0,1,0,1,1,2
01054055,        Humptrup,18,1,2,0,1,3,4
01054056,        Husum,1405,126,64,21,104,274,697
01054057,        Immenstedt,16,0,1,1,2,5,6
01054059,        Joldelund,19,1,-,1,3,5,4
01054061,        Kampen (Sylt),7,2,-,0,0,2,-
01054062,        Karlum,4,0,-,0,0,2,2
01054063,        Katharinenheerd,1,0,-,0,0,0,-
01054065,        Klanxbüll,25,1,-,1,5,5,4
01054068,        Klixbüll,31,2,-,0,4,7,11
01054070,        Koldenbüttel,25,3,1,0,3,5,8
01054071,        Kolkerheide,0,0,-,0,0,0,-
01054072,        Kotzenbüll,10,0,-,0,0,3,5
01054073,        Ladelund,44,2,2,0,5,14,16
01054074,        Langeneß,6,0,-,0,0,3,-
01054075,        Langenhorn,100,1,4,1,10,21,29
01054076,        Leck,369,19,11,12,61,66,178
01054077,        Lexgaard,4,0,-,0,1,2,1
01054078,        List,34,5,-,0,3,3,2
01054079,        Löwenstedt,11,0,-,1,2,2,3
01054080,        Lütjenholm,10,1,-,0,1,3,3
01054083,        Midlum,7,1,-,0,0,2,1
01054084,        Mildstedt,90,2,2,3,10,24,40
01054085,        Nebel,14,1,-,0,1,2,-
01054086,        Neukirchen,42,0,2,1,6,7,17
01054087,        Nieblum,14,0,2,0,1,6,3
01054088,        Niebüll,353,40,16,6,48,64,123
01054089,        Norddorf auf Amrum,17,1,1,0,1,3,1
01054090,        Norderfriedrichskoog,0,0,-,0,0,0,-
01054091,        Nordstrand,67,1,3,0,6,21,24
01054092,        Norstedt,12,0,1,0,0,5,5
01054093,        Ockholm,9,0,-,1,1,4,3
01054094,        Oevenum,14,0,1,0,1,5,4
01054095,        Oldenswort,44,2,3,1,5,13,19
01054096,        Oldersbek,26,0,-,0,3,2,14
01054097,        Olderup,16,1,-,0,1,3,9
01054098,        Oldsum,6,0,-,0,0,0,2
01054099,        Ostenfeld (Husum),43,1,4,1,3,11,15
01054100,        Osterhever,2,0,-,0,0,1,1
01054101,        Oster-Ohrstedt,20,0,1,1,2,8,8
01054103,        Pellworm,21,0,1,0,2,5,2
01054104,        Poppenbüll,2,0,-,0,0,0,-
01054105,        Ramstedt,9,1,-,0,1,1,2
01054106,        Rantrum,48,0,3,1,7,12,17
01054107,        Rantum (Sylt),-,-,-,-,-,-,-
01054108,        Reußenköge,7,0,1,0,0,1,3
01054109,        Risum-Lindholm,93,1,4,4,11,18,27
01054110,        Rodenäs,11,0,-,0,1,2,3
01054113,        Sankt Peter-Ording,113,13,6,0,5,31,35
01054116,        Schwabstedt,46,1,5,1,3,12,28
01054118,        Schwesing,28,0,2,1,3,5,12
01054119,        Seeth,20,1,1,0,2,4,5
01054120,        Simonsberg,28,0,1,1,4,10,12
01054121,        Sönnebüll,10,0,-,0,2,0,3
01054123,        Sollwitt,6,0,-,0,1,2,3
01054124,        Sprakebüll,8,1,2,0,2,1,3
01054125,        Stadum,31,1,-,1,3,6,11
01054126,        Stedesand,17,0,1,0,2,3,6
01054128,        Struckum,22,0,1,2,3,10,9
01054129,        Süderende,2,0,-,0,0,1,1
01054130,        Süderhöft,-,-,-,-,-,-,-
01054131,        Süderlügum,67,3,2,4,13,13,19
01054132,        Südermarsch,5,0,-,0,0,0,3
01054133,        Sylt-Ost,-,-,-,-,-,-,-
01054134,        Tating,30,3,1,0,3,7,6
01054135,        Tetenbüll,11,0,1,0,1,7,5
01054136,        Tinningstedt,8,0,1,0,0,2,4
01054138,        Tönning,243,17,6,5,22,56,104
01054140,        Tümlauer Koog,2,0,-,0,0,1,-
01054141,        Uelvesbüll,6,0,-,0,0,2,3
01054142,        Uphusum,6,0,-,0,1,1,1
01054143,        Utersum,8,1,-,0,0,2,1
01054144,        Viöl,70,0,2,1,9,13,25
01054145,        Vollerwiek,5,0,1,0,1,2,1
01054146,        Vollstedt,4,0,-,0,1,2,3
01054148,        Welt,4,0,1,0,0,2,-
01054149,        Wenningstedt-Braderup (Sylt),24,4,1,0,2,7,2
01054150,        Westerhever,3,0,-,0,1,1,2
01054151,        Westerland,-,-,-,-,-,-,-
01054152,        Wester-Ohrstedt,44,0,4,0,2,10,22
01054154,        Westre,6,0,1,0,1,2,1
01054156,        Winnert,25,1,-,0,2,6,14
01054157,        Wisch,2,0,-,0,1,0,-
01054158,        Witsum,1,0,-,0,0,1,1
01054159,        Wittbek,24,0,1,0,2,4,10
01054160,        Wittdün auf Amrum,23,2,-,0,2,5,2
01054161,        Witzwort,33,0,3,1,3,7,14
01054162,        Wobbenbüll,7,1,-,0,2,1,1
01054163,        Wrixum,14,1,1,0,1,3,2
01054164,        Wyk auf Föhr,129,12,6,2,11,29,26
01054165,        Galmsbüll,17,0,1,1,2,4,3
01054166,        Emmelsbüll-Horsbüll,38,3,1,0,2,9,10
01054167,        Enge-Sande,25,0,1,0,4,3,8
01054168,        Sylt,359,50,8,2,27,79,32
01055,"      Ostholstein, Landkreis",6489,442,377,129,697,1311,2063
01055001,        Ahrensbök,291,8,12,6,23,54,107
01055002,        Altenkrempe,19,0,1,0,1,5,2
01055004,        Bad Schwartau,502,52,29,14,69,102,171
01055006,        Beschendorf,18,0,2,0,2,3,4
01055007,        Bosau,131,2,9,3,12,33,51
01055010,        Dahme,45,4,2,1,3,11,8
01055011,        Damlos,11,1,-,0,1,4,3
01055012,        Eutin,810,50,41,19,95,136,343
01055014,        Göhl,35,1,3,1,2,4,9
01055015,        Gremersdorf,44,4,5,1,5,9,14
01055016,        Grömitz,259,30,13,3,18,73,58
01055017,        Großenbrode,54,1,3,1,3,15,11
01055018,        Grube,34,0,2,0,2,6,6
01055020,        Harmsdorf,19,1,-,0,2,1,5
01055021,        Heiligenhafen,358,20,22,7,34,72,121
01055022,        Heringsdorf (Holstein),41,2,4,1,3,4,13
01055023,        Kabelhorst,8,0,-,0,1,0,1
01055024,        Kasseedorf,32,0,2,0,2,7,10
01055025,        Kellenhusen (Ostsee),44,6,2,0,4,8,9
01055027,        Lensahn,202,10,10,5,23,36,62
01055028,        Malente,481,29,23,8,50,81,214
01055029,        Manhagen,13,0,2,0,0,5,4
01055031,        Neukirchen,40,1,3,0,3,11,12
01055032,        Neustadt in Holstein,516,53,31,12,66,103,144
01055033,        Oldenburg in Holstein,349,37,25,7,34,63,115
01055035,        Ratekau,397,15,17,11,52,76,103
01055036,        Riepsdorf,34,0,2,1,4,5,10
01055037,        Schashagen,61,2,5,0,4,15,14
01055038,        Schönwalde am Bungsberg,55,1,3,1,8,13,14
01055039,        Sierksdorf,31,2,3,0,4,10,7
01055040,        Stockelsdorf,337,20,23,6,45,80,107
01055041,        Süsel,142,5,10,2,9,30,59
01055042,        Timmendorfer Strand,252,26,13,4,25,42,61
01055043,        Wangels,62,0,3,1,6,15,14
01055044,        Scharbeutz,308,28,17,3,30,74,82
01055046,        Fehmarn,454,34,37,9,50,106,95
01056,"      Pinneberg, Landkreis",8815,1610,475,172,878,1617,2674
01056001,        Appen,82,6,4,1,6,20,22
01056002,        Barmstedt,295,33,18,6,30,54,91
01056003,        Bevern,9,0,1,0,0,3,2
01056004,        Bilsen,16,1,1,0,3,2,4
01056005,        Bönningstedt,74,6,5,1,4,15,12
01056006,        Bokel,12,0,-,0,2,2,3
01056008,        Bokholt-Hanredder,20,1,1,0,2,3,5
01056009,        Borstel-Hohenraden,38,2,1,2,9,9,6
01056010,        Brande-Hörnerkirchen,36,0,3,2,4,6,11
01056011,        Bullenkuhlen,6,0,-,0,0,1,3
01056013,        Ellerbek,73,7,4,2,6,24,25
01056014,        Ellerhoop,26,1,1,1,6,8,6
01056015,        Elmshorn,2348,542,129,53,254,305,815
01056016,        Groß Nordende,17,3,2,0,1,6,4
01056017,        Groß Offenseth-Aspern,10,0,-,0,1,2,4
01056018,        Halstenbek,329,31,15,6,29,76,95
01056019,        Haselau,13,2,-,0,3,2,3
01056020,        Haseldorf,24,0,4,1,3,8,8
01056021,        Hasloh,52,2,6,1,7,18,12
01056022,        Heede,11,0,1,0,2,3,2
01056023,        Heidgraben,35,3,2,0,3,9,10
01056024,        Heist,45,1,2,2,7,12,8
01056025,        Helgoland,61,8,2,0,3,13,11
01056026,        Hemdingen,28,1,1,1,3,8,9
01056027,        Hetlingen,23,1,1,0,1,5,6
01056028,        Holm,50,2,4,2,7,11,8
01056029,        Klein Nordende,45,1,2,1,8,12,12
01056030,        Klein Offenseth-Sparrieshoop,54,2,1,2,7,13,14
01056031,        Kölln-Reisiek,50,5,2,1,3,11,10
01056032,        Kummerfeld,32,3,2,0,2,11,13
01056033,        Seester,16,1,1,0,1,6,2
01056034,        Langeln,10,2,1,0,0,2,1
01056035,        Lutzhorn,12,0,2,0,2,3,3
01056036,        Moorrege,64,2,5,0,6,22,16
01056037,        Neuendeich,4,0,-,0,0,1,-
01056038,        Osterhorn,12,0,-,0,1,1,3
01056039,        Pinneberg,1483,373,73,27,135,265,432
01056040,        Prisdorf,40,4,-,0,6,6,11
01056041,        Quickborn,419,54,21,8,41,83,98
01056042,        Raa-Besenbek,10,0,1,0,2,2,3
01056043,        Rellingen,267,26,15,4,18,77,72
01056044,"        Schenefeld, Stadt",444,72,21,8,40,88,145
01056045,        Seestermühe,10,1,-,0,0,2,1
01056046,        Seeth-Ekholt,20,0,1,0,1,4,4
01056047,        Tangstedt,35,3,-,1,2,7,8
01056048,        Tornesch,306,41,24,4,25,79,102
01056049,        Uetersen,708,125,36,13,83,119,234
01056050,        Wedel,1012,239,56,19,94,174,297
01056051,        Westerhorn,29,1,1,2,5,5,11
01057,"      Plön, Landkreis",3582,209,188,73,372,795,1185
01057001,        Ascheberg (Holstein),92,4,3,3,9,18,34
01057002,        Barmissen,2,0,-,0,0,0,2
01057003,        Barsbek,18,0,1,0,1,6,5
01057004,        Behrensdorf (Ostsee),10,0,-,0,1,4,2
01057005,        Belau,6,0,-,0,0,2,1
01057006,        Bendfeld,5,0,-,0,0,1,3
01057007,        Blekendorf,54,0,3,1,6,14,17
01057008,        Bönebüttel,34,0,2,1,4,9,10
01057009,        Bösdorf,41,1,3,1,7,8,16
01057010,        Boksee,9,0,1,0,2,2,3
01057011,        Bothkamp,6,0,1,0,2,1,3
01057012,        Brodersdorf,10,2,1,1,1,2,3
01057013,        Dannau,11,0,1,0,1,4,4
01057015,        Dersau,22,0,1,0,2,4,5
01057016,        Dobersdorf,22,0,1,0,1,5,6
01057017,        Dörnick,5,0,-,0,1,0,2
01057018,        Fahren,4,1,1,0,0,0,3
01057020,        Fiefbergen,11,0,-,0,1,3,3
01057021,        Giekau,34,0,1,1,5,6,12
01057022,        Grebin,20,0,-,0,1,3,4
01057023,        Großbarkau,7,0,-,0,0,3,4
01057024,        Großharrie,11,0,-,0,2,2,2
01057025,        Heikendorf,306,41,7,4,25,79,49
01057026,        Helmstorf,708,125,-,13,83,119,-
01057027,        Högsdorf,1012,239,1,19,94,174,1
01057028,        Höhndorf,29,1,1,2,5,5,2
01057029,        Hohenfelde,3582,209,1,73,372,795,11
01057030,        Hohwacht (Ostsee),92,4,1,3,9,18,3
01057031,        Honigsee,2,0,-,0,0,0,2
01057032,        Kalübbe,18,0,1,0,1,6,8
01057033,        Kirchbarkau,10,0,-,0,1,4,1
01057034,        Kirchnüchel,6,0,-,0,0,2,2
01057035,        Klamp,5,0,1,0,0,1,6
01057037,        Klein Barkau,54,0,-,1,6,14,1
01057038,        Kletkamp,34,0,1,1,4,9,3
01057039,        Köhn,41,1,2,1,7,8,3
01057040,        Krokau,9,0,-,0,2,2,7
01057041,        Krummbek,6,0,1,0,2,1,3
01057042,        Kühren,10,2,1,1,1,2,4
01057043,        Laboe,11,0,7,0,1,4,52
01057044,        Lammershagen,22,0,-,0,2,4,4
01057045,        Lebrade,22,0,-,0,1,5,2
01057046,        Lehmkuhlen,5,0,4,0,1,0,7
01057047,        Löptin,4,1,1,0,0,0,1
01057048,        Lütjenburg,11,0,11,0,1,3,100
01057049,        Lutterbek,34,0,1,1,5,6,1
01057050,        Martensrade,20,0,1,0,1,3,8
01057051,        Mönkeberg,7,0,3,0,0,3,22
01057052,        Mucheln,11,0,1,0,2,2,1
01057053,        Nehmten,8,0,-,0,0,1,5
01057054,        Nettelsee,8,1,-,0,2,3,2
01057055,        Panker,39,0,-,1,7,10,9
01057056,        Passade,3,0,-,0,0,1,1
01057057,        Plön,386,45,20,6,27,91,162
01057058,        Pohnsdorf,12,0,1,1,1,4,5
01057059,        Postfeld,6,0,1,0,1,1,2
01057060,        Prasdorf,6,0,-,0,2,0,2
01057062,        Preetz,604,44,35,17,73,130,215
01057063,        Probsteierhagen,52,2,4,1,6,10,17
01057065,        Rantzau,8,0,-,0,1,1,2
01057066,        Rastorf,24,1,1,0,2,4,8
01057067,        Rathjensdorf,11,0,2,1,1,6,3
01057068,        Rendswühren,11,0,-,0,2,4,3
01057069,        Ruhwinkel,25,1,1,1,2,3,9
01057070,        Schellhorn,19,0,-,1,4,4,3
01057071,        Schillsdorf,25,0,1,0,3,8,9
01057072,        Schlesen,13,0,-,0,1,3,3
01057073,        Schönberg (Holstein),205,10,15,2,16,53,71
01057074,        Schönkirchen,159,16,8,4,22,33,48
01057076,        Schwartbuck,28,1,-,1,1,3,9
01057077,        Selent,46,2,3,1,6,8,15
01057078,        Stakendorf,8,0,1,0,0,3,1
01057079,        Stein,12,1,1,0,1,3,3
01057080,        Stolpe,31,0,2,1,4,7,7
01057081,        Stoltenberg,6,0,-,0,0,1,-
01057082,        Tröndel,6,0,-,0,1,2,-
01057083,        Tasdorf,6,0,1,0,1,2,1
01057084,        Wahlstorf,8,0,-,0,2,3,1
01057085,        Wankendorf,95,2,4,2,10,15,31
01057086,        Warnau,8,1,-,0,0,3,1
01057087,        Wendtorf,15,0,-,0,1,3,5
01057088,        Wisch,16,0,2,0,2,5,7
01057089,        Wittmoldt,1,0,-,0,0,1,-
01057090,        Fargau-Pratjau,23,0,2,0,3,5,8
01057091,        Schwentinental,265,24,15,5,28,50,74
01058,"      Rendsburg-Eckernförde, Landkreis",7687,508,470,167,926,1525,2492
01058001,        Achterwehr,15,0,1,0,1,3,4
01058003,        Alt Duvenstedt,53,4,2,2,9,10,13
01058004,        Altenhof,2,0,-,0,0,0,-
01058005,        Altenholz,192,19,9,5,21,40,60
01058007,        Arpsdorf,6,0,-,0,1,1,1
01058008,        Ascheffel,27,1,1,2,3,2,9
01058009,        Aukrug,99,3,6,4,15,17,34
01058010,        Bargstall,2,0,1,0,0,1,1
01058011,        Bargstedt,14,0,2,0,2,2,3
01058012,        Barkelsby,35,1,3,1,5,8,10
01058013,        Beldorf,5,0,1,0,0,1,1
01058014,        Bendorf,14,2,1,0,2,3,3
01058015,        Beringstedt,24,0,2,0,3,6,9
01058016,        Bissee,7,0,-,0,0,1,2
01058018,        Blumenthal,9,0,1,0,1,3,3
01058019,        Böhnhusen,8,0,1,0,1,2,1
01058021,        Bokel,19,1,3,1,3,6,7
01058022,        Bordesholm,196,10,12,3,16,33,77
01058023,        Borgdorf-Seedorf,6,0,-,0,1,0,1
01058024,        Borgstedt,31,2,-,0,2,4,7
01058025,        Bornholt,3,0,1,0,0,0,-
01058026,        Bovenau,16,0,-,0,1,8,6
01058027,        Brammer,10,1,1,0,0,1,4
01058028,        Bredenbek,20,0,2,0,2,5,6
01058029,        Breiholz,22,0,-,2,4,6,6
01058030,        Brekendorf,31,1,2,0,2,5,9
01058031,        Brinjahe,4,0,1,0,0,1,1
01058032,        Brodersby,18,0,-,0,2,4,4
