schluessel,laender,arbeitslos.gsamt,arbeitslos.ausld,arbeitslos.bhdt,arbeitslos.15bis20,arbeitslos15bis25,arbeitslos.55bis65,arbeitslos.langzeit
09375174,"        Neutraubling, St",301,77,28,7,34,69,59
09375175,"        Nittendorf, M",174,28,17,4,18,43,41
09375179,        Obertraubling,105,12,6,2,15,18,19
09375180,        Pentling,62,8,4,1,9,15,10
09375181,        Pettendorf,33,2,3,1,4,9,5
09375182,        Pfakofen,16,2,2,1,3,4,1
09375183,        Pfatter,29,4,4,1,6,10,4
09375184,        Pielenhofen,18,2,1,1,2,2,3
09375190,"        Regenstauf, M",289,28,30,8,31,72,54
09375191,        Riekofen,9,1,-,0,2,2,2
09375196,"        Schierling, M",112,19,7,1,11,17,23
09375199,        Sinzing,74,7,5,2,6,18,18
09375201,        Sünching,29,1,1,1,5,6,5
09375204,        Tegernheim,60,5,4,1,6,8,10
09375205,        Thalmassing,37,3,5,0,3,6,4
09375208,        Wenzenbach,99,8,9,2,9,23,18
09375209,        Wiesent,39,2,4,1,5,7,8
09375210,"        Wörth a.d.Donau, St",78,15,9,2,8,18,13
09375211,        Wolfsegg,24,1,3,1,2,8,3
09375213,        Zeitlarn,91,8,7,1,8,17,16
09375444,        Gem.fr. Geb. Regensburg,x,x,x,x,x,x,x
09376,"      Schwandorf, Landkreis",2783,249,306,74,342,655,591
09376112,        Altendorf,8,0,1,0,1,0,2
09376116,        Bodenwöhr,78,8,9,1,8,16,9
09376117,"        Bruck i.d.OPf., M",100,10,8,4,14,18,19
09376119,"        Burglengenfeld, St",263,32,25,7,35,52,61
09376122,        Dieterskirchen,21,1,4,1,2,8,4
09376125,        Fensterbach,30,0,5,1,4,10,5
09376131,        Gleiritsch,13,1,1,0,1,4,3
09376133,        Guteneck,8,0,1,0,1,2,1
09376141,"        Maxhütte-Haidhof, St",205,16,30,5,27,46,39
09376144,"        Nabburg, St",103,5,14,3,13,23,29
09376146,"        Neukirchen-Balbini, M",15,0,2,1,1,5,3
09376147,"        Neunburg vorm Wald, St",173,19,13,5,19,40,37
09376148,        Niedermurach,18,0,4,0,1,6,4
09376149,"        Nittenau, St",160,18,21,7,25,33,33
09376150,"        Wernberg-Köblitz, M",76,3,6,1,8,18,13
09376151,"        Oberviechtach, St",107,5,10,1,12,31,32
09376153,"        Pfreimd, St",76,3,8,2,10,20,16
09376159,        Schmidgaden,36,0,6,0,3,14,6
09376160,"        Schönsee, St",63,3,7,0,5,23,17
09376161,"        Schwandorf, GKSt",732,98,69,21,90,153,172
09376162,        Schwarzach b.Nabburg,21,0,3,0,1,10,2
09376163,"        Schwarzenfeld, M",117,6,10,6,17,30,20
09376164,"        Schwarzhofen, M",13,0,-,0,2,3,1
09376167,        Stadlern,6,0,-,0,2,1,1
09376168,        Steinberg am See,23,0,4,0,2,8,6
09376169,        Stulln,20,0,4,1,3,4,3
09376170,"        Teublitz, St",121,12,17,3,14,32,26
09376171,        Teunz,36,1,3,1,3,9,4
09376172,        Thanstein,12,1,2,0,2,3,1
09376173,        Trausnitz,14,0,1,1,3,4,1
09376175,        Wackersdorf,83,6,14,1,9,20,14
09376176,        Weiding,12,0,2,0,1,4,3
09376178,"        Winklarn, M",20,1,3,1,3,3,3
09376444,        Gem.fr. Geb. Schwandorf,x,x,x,x,x,x,x
09377,"      Tirschenreuth, Landkreis",1892,114,181,44,195,484,615
09377112,"        Bärnau, St",70,3,6,3,8,22,21
09377113,        Brand,28,0,3,1,3,7,5
09377115,        Ebnath,25,0,4,0,2,7,8
09377116,"        Erbendorf, St",119,17,7,2,13,22,43
09377117,"        Falkenberg, M",16,0,1,0,0,7,4
09377118,        Friedenfels,29,0,4,2,4,9,9
09377119,"        Fuchsmühl, M",40,1,3,1,4,11,13
09377127,        Immenreuth,36,1,7,1,3,12,11
09377128,        Kastl,17,0,2,0,2,4,6
09377129,"        Kemnath, St",134,14,12,2,12,34,46
09377131,"        Konnersreuth, M",27,0,1,1,4,4,4
09377132,        Krummennaab,46,0,6,0,4,11,15
09377133,        Kulmain,43,1,5,1,3,15,13
09377137,        Leonberg,9,0,-,0,1,3,2
09377139,"        Mähring, M",30,1,3,0,3,6,6
09377141,"        Mitterteich, St",240,12,23,7,30,61,85
09377142,"        Neualbenreuth, M",24,1,4,0,2,7,8
09377143,        Neusorg,37,0,6,0,5,10,11
09377145,        Pechbrunn,28,0,1,2,5,7,5
09377146,"        Plößberg, M",55,0,6,2,6,15,10
09377148,        Pullenreuth,28,0,5,1,4,9,7
09377149,        Reuth b.Erbendorf,31,0,1,1,5,4,9
09377154,"        Tirschenreuth, St",280,21,26,3,27,72,112
09377157,"        Waldershof, St",95,4,10,1,7,30,19
09377158,"        Waldsassen, St",237,28,20,7,23,54,89
09377159,"        Wiesau, M",165,9,17,3,15,39,54
09377444,        Gem.fr. Geb. Tirschenreuth,x,x,x,x,x,x,x
094,"    Oberfranken, Regierungsbezirk",25587,2444,2517,461,2517,6183,6359
09461000,      Bamberg,1937,315,129,56,173,355,506
09462000,      Bayreuth,2332,349,298,35,182,518,632
09463000,      Coburg,1322,151,100,35,140,251,315
09464000,      Hof,1572,290,206,18,125,334,410
09471,"      Bamberg, Landkreis",2491,123,195,56,286,662,603
09471111,        Altendorf,28,1,1,2,5,7,4
09471115,"        Baunach, St",66,3,3,2,8,19,14
09471117,        Bischberg,106,9,8,2,7,34,31
09471119,        Breitengüßbach,84,3,5,1,8,30,25
09471120,"        Burgebrach, M",117,2,10,3,14,29,28
09471122,"        Burgwindheim, M",29,1,4,0,2,7,8
09471123,"        Buttenheim, M",49,2,3,2,6,14,12
09471128,"        Ebrach, M",40,3,2,0,4,15,12
09471131,        Frensdorf,82,3,5,2,11,24,23
09471133,        Gerach,19,0,2,0,2,6,6
09471137,        Gundelsheim,58,3,4,1,4,20,17
09471140,"        Hallstadt, St",189,19,14,5,26,41,44
09471142,"        Heiligenstadt i.OFr., M",54,3,6,0,6,11,17
09471145,"        Hirschaid, M",196,10,17,3,19,46,44
09471150,        Kemmern,35,0,3,1,5,8,8
09471151,        Königsfeld,12,0,1,0,2,4,2
09471152,        Lauter,20,1,2,0,1,9,6
09471154,        Lisberg,38,2,3,1,5,10,10
09471155,        Litzendorf,78,3,5,2,12,24,19
09471159,        Memmelsdorf,169,6,11,3,19,45,45
09471165,        Oberhaid,103,8,8,4,15,21,19
09471169,        Pettstadt,32,1,3,1,5,5,7
09471172,        Pommersfelden,37,2,2,0,2,11,8
09471173,        Priesendorf,37,2,3,1,5,9,8
09471174,"        Rattelsdorf, M",88,2,7,2,11,21,21
09471175,        Reckendorf,26,1,4,0,3,8,7
09471185,"        Scheßlitz, St",95,4,9,2,9,31,23
09471186,        Schönbrunn i.Steigerwald,28,0,1,2,4,7,6
09471189,        Stadelhofen,13,0,2,0,1,7,5
09471191,        Stegaurach,114,7,8,3,13,24,23
09471195,        Strullendorf,155,6,13,3,16,41,37
09471207,        Viereth-Trunstadt,68,3,6,2,8,16,18
09471208,        Walsdorf,31,1,3,1,6,7,6
09471209,        Wattendorf,4,0,-,0,0,2,2
09471214,"        Zapfendorf, M",96,2,9,3,15,26,25
09471220,"        Schlüsselfeld, St",94,7,8,2,9,23,17
09471444,        Gem.fr. Geb. Bamberg,x,x,x,x,x,x,x
09472,"      Bayreuth, Landkreis",2178,113,262,35,218,579,509
09472111,        Ahorntal,30,0,2,0,3,10,6
09472115,        Aufseß,20,0,5,0,1,4,3
09472116,"        Bad Berneck i.Fichtelgebirge, St",107,7,10,2,9,29,27
09472118,"        Betzenstein, St",46,1,7,1,7,15,10
09472119,        Bindlach,145,9,14,2,13,46,35
09472121,        Bischofsgrün,46,1,10,0,3,14,12
09472127,"        Creußen, St",110,3,17,2,10,31,31
09472131,        Eckersdorf,79,1,13,1,6,27,20
09472133,        Emtmannsberg,13,0,4,0,1,2,3
09472138,        Fichtelberg,52,1,9,0,4,19,14
09472139,"        Gefrees, St",96,1,8,1,8,29,21
09472140,        Gesees,26,1,4,0,2,7,7
09472141,        Glashütten,21,0,2,1,3,7,6
09472143,"        Goldkronach, St",58,1,8,0,7,15,12
09472146,        Haag,12,0,2,0,1,2,3
09472150,        Heinersreuth,63,4,7,0,7,10,9
09472154,"        Hollfeld, St",106,6,13,2,10,27,30
09472155,        Hummeltal,26,0,3,0,3,5,5
09472156,        Kirchenpingarten,22,0,2,0,2,5,1
09472164,        Mehlmeisel,35,2,6,0,4,10,11
09472166,        Mistelbach,22,1,1,0,1,6,7
09472167,        Mistelgau,61,3,7,1,7,17,12
09472175,"        Pegnitz, St",328,30,34,5,40,73,80
09472176,        Plankenfels,18,0,3,0,2,5,6
09472177,"        Plech, M",23,3,2,1,4,6,3
09472179,"        Pottenstein, St",123,6,13,4,14,30,26
09472180,        Prebitz,17,0,2,1,1,4,4
09472184,"        Schnabelwaid, M",17,1,1,1,2,5,2
09472188,        Seybothenreuth,20,2,3,0,1,6,5
09472190,        Speichersdorf,167,16,15,2,16,45,41
09472197,"        Waischenfeld, St",64,1,10,1,9,16,12
09472198,        Warmensteinach,66,3,8,1,4,20,15
09472199,"        Weidenberg, M",138,8,17,4,15,30,32
09472444,        Gem.fr. Geb. Bayreuth,x,x,x,x,x,x,x
09473,"      Coburg, Landkreis",2002,121,211,35,222,503,453
09473112,        Ahorn,74,2,8,1,8,25,17
09473120,        Dörfles-Esbach,110,3,14,1,10,34,31
09473121,        Ebersdorf b.Coburg,129,15,13,2,13,34,28
09473132,        Großheirath,42,2,8,0,6,11,5
09473134,        Grub a.Forst,54,1,8,1,5,17,12
09473138,        Itzgrund,36,3,1,0,5,8,12
09473141,        Lautertal,68,1,10,2,5,17,14
09473144,        Meeder,54,1,5,1,8,12,10
09473151,"        Neustadt b.Coburg, GKSt",441,52,43,9,46,97,87
09473153,        Niederfüllbach,27,2,5,0,3,5,6
09473158,"        Bad Rodach, St",151,7,21,3,19,36,41
09473159,"        Rödental, St",358,21,35,5,44,86,84
09473165,"        Seßlach, St",71,1,7,2,8,14,12
09473166,        Sonnefeld,88,2,7,3,10,25,21
09473170,        Untersiemau,85,2,6,1,7,28,19
09473174,        Weidhausen b.Coburg,65,1,6,1,11,16,12
09473175,        Weitramsdorf,147,5,14,2,14,38,42
09473444,        Gem.fr. Geb. Coburg,x,x,x,x,x,x,x
09474,"      Forchheim, Landkreis",2070,222,157,43,237,439,457
09474119,        Dormitz,21,2,-,0,1,9,6
09474121,"        Ebermannstadt, St",144,13,12,4,14,24,30
09474122,        Effeltrich,31,4,2,1,6,4,5
09474123,"        Eggolsheim, M",99,2,8,2,11,19,21
09474124,"        Egloffstein, M",50,4,3,1,5,12,13
09474126,"        Forchheim, GKSt",799,152,57,18,88,154,210
09474129,"        Gößweinstein, M",86,4,7,1,9,18,18
09474132,"        Gräfenberg, St",68,6,8,2,8,18,14
09474133,        Hallerndorf,59,0,4,2,8,13,7
09474134,        Hausen,42,2,4,0,5,14,9
09474135,        Heroldsbach,68,4,5,1,10,17,12
09474137,        Hetzles,20,0,1,0,2,6,5
09474138,"        Hiltpoltstein, M",28,0,3,0,4,7,6
09474140,"        Igensdorf, M",68,2,4,1,6,15,10
09474143,        Kirchehrenbach,30,2,2,1,6,4,8
09474144,        Kleinsendelbach,18,2,1,0,3,2,4
09474145,        Kunreuth,20,0,1,0,1,7,3
09474146,        Langensendelbach,27,1,2,0,5,4,3
09474147,        Leutenbach,28,0,1,0,3,6,8
09474154,"        Neunkirchen a.Brand, M",97,9,10,2,10,22,21
09474156,        Obertrubach,55,1,4,1,7,12,9
09474158,        Pinzberg,33,1,4,0,3,12,5
09474160,        Poxdorf,14,1,2,0,2,5,2
09474161,"        Pretzfeld, M",44,5,4,1,5,7,6
09474168,        Unterleinleiter,17,0,2,1,3,2,4
09474171,        Weilersbach,27,0,2,0,4,9,3
09474173,        Weißenohe,21,1,4,1,4,3,4
09474175,        Wiesenthau,19,1,1,0,2,5,4
09474176,"        Wiesenttal, M",36,0,4,0,4,11,6
09475,"      Hof, Landkreis",2268,169,208,38,236,571,595
09475112,"        Bad Steben, M",64,2,8,0,6,28,20
09475113,        Berg,40,0,7,2,6,12,7
09475120,        Döhlau,58,3,4,0,3,19,13
09475123,        Feilitzsch,39,1,3,1,5,10,8
09475127,        Gattendorf,26,3,-,0,2,12,6
09475128,        Geroldsgrün,54,1,4,0,5,18,11
09475136,"        Helmbrechts, St",219,8,19,3,22,52,68
09475137,        Issigau,20,2,3,0,1,4,5
09475141,        Köditz,44,2,4,1,4,12,8
09475142,        Konradsreuth,54,6,5,1,4,11,11
09475145,        Leupoldsgrün,18,0,-,0,1,5,3
09475146,"        Lichtenberg, St",23,0,4,1,3,9,9
09475154,"        Münchberg, St",340,40,39,7,31,78,113
09475156,"        Naila, St",184,12,11,3,25,35,37
09475158,"        Oberkotzau, M",142,10,17,3,17,26,35
09475161,        Regnitzlosau,38,1,2,1,4,16,7
09475162,"        Rehau, St",259,44,21,5,34,50,68
09475165,"        Schauenstein, St",41,0,5,0,4,12,10
09475168,"        Schwarzenbach a.d.Saale, St",198,16,18,3,20,54,63
09475169,"        Schwarzenbach a.Wald, St",119,5,8,1,9,34,29
09475171,"        Selbitz, St",98,8,11,2,10,22,20
09475174,"        Sparneck, M",39,4,5,1,4,8,10
09475175,"        Stammbach, M",47,0,8,1,5,17,12
09475181,        Töpen,23,0,1,0,4,3,5
09475182,        Trogen,24,2,1,0,2,6,5
09475184,        Weißdorf,20,0,3,0,2,2,4
09475189,"        Zell im Fichtelgebirge, M",39,0,1,1,4,14,10
09475444,        Gem.fr. Geb. Hof,x,x,x,x,x,x,x
09476,"      Kronach, Landkreis",1697,94,199,30,166,452,361
09476145,"        Kronach, St",480,44,58,8,50,99,115
09476146,"        Küps, M",212,11,14,4,21,52,47
09476152,"        Ludwigsstadt, St",61,5,9,2,5,22,14
09476154,"        Mitwitz, M",72,2,7,1,9,21,14
09476159,"        Nordhalben, M",83,1,10,1,5,34,19
09476164,"        Pressig, M",93,4,14,2,10,26,24
09476166,        Reichenbach,12,1,2,0,1,4,3
09476171,        Schneckenlohe,23,1,3,0,1,8,4
09476175,        Steinbach a.Wald,54,5,9,1,5,14,9
09476177,"        Steinwiesen, M",85,2,13,1,7,20,11
09476178,        Stockheim,86,2,5,3,12,20,14
09476179,"        Tettau, M",44,6,4,2,5,13,9
09476180,"        Teuschnitz, St",50,2,5,1,4,13,14
09476182,        Tschirn,15,0,2,0,2,4,4
09476183,"        Marktrodach, M",93,5,15,1,7,31,17
09476184,"        Wallenfels, St",85,1,13,1,5,24,15
09476185,        Weißenbrunn,80,3,11,1,11,24,18
09476189,        Wilhelmsthal,69,0,8,1,8,24,11
09476444,        Gem.fr. Geb. Kronach,x,x,x,x,x,x,x
09477,"      Kulmbach, Landkreis",2010,137,197,32,186,497,545
09477117,"        Grafengehaig, M",26,0,5,0,1,10,6
09477118,        Guttenberg,12,0,2,0,1,1,3
09477119,        Harsdorf,13,1,3,0,1,3,1
09477121,        Himmelkron,50,2,4,0,7,9,7
09477124,"        Kasendorf, M",56,0,8,2,6,11,10
09477127,        Ködnitz,29,1,3,0,2,9,5
09477128,"        Kulmbach, GKSt",910,98,80,14,84,206,286
09477129,"        Kupferberg, St",25,0,3,1,2,6,5
09477135,"        Ludwigschorgast, M",14,0,3,0,1,3,2
09477136,"        Mainleus, M",156,9,16,4,19,41,36
09477138,"        Marktleugast, M",72,2,5,2,8,19,15
09477139,"        Marktschorgast, M",42,1,3,0,4,13,14
09477142,        Neudrossenfeld,70,1,7,1,6,22,13
09477143,        Neuenmarkt,93,9,9,1,9,22,25
09477148,"        Presseck, M",59,3,9,0,4,18,18
09477151,        Rugendorf,23,0,1,0,1,7,5
09477156,"        Stadtsteinach, St",110,4,10,1,6,34,34
09477157,"        Thurnau, M",86,2,7,3,7,25,25
09477158,        Trebgast,26,1,1,0,2,8,4
09477159,        Untersteinach,68,2,11,1,7,16,18
09477163,"        Wirsberg, M",52,1,6,1,6,11,11
09477164,"        Wonsees, M",18,1,1,0,2,3,3
09478,"      Lichtenfels, Landkreis",1701,127,171,38,180,491,396
09478111,        Altenkunstadt,170,6,19,3,18,64,39
09478116,"        Burgkunstadt, St",164,8,23,5,18,43,36
09478120,"        Ebensfeld, M",98,2,10,2,9,30,22
09478127,        Hochstadt a.Main,34,1,5,0,3,10,6
09478139,"        Lichtenfels, St",601,74,48,14,61,152,157
09478143,"        Marktgraitz, M",28,1,3,0,3,9,6
09478144,"        Marktzeuln, M",43,1,9,1,4,14,10
09478145,        Michelau i.OFr.,167,8,14,4,21,48,36
09478155,        Redwitz a.d.Rodach,79,11,8,2,10,23,19
09478165,"        Bad Staffelstein, St",221,10,21,6,22,65,48
09478176,"        Weismain, St",96,7,12,1,12,33,19
09478444,        Gem.fr. Geb. Lichtenfels,x,x,x,x,x,x,x
09479,"      Wunsiedel i.Fichtelgebirge, Landkreis",2009,233,184,28,166,531,579
09479111,        Bad Alexandersbad,19,3,2,0,1,8,3
09479112,"        Arzberg, St",162,10,20,3,14,48,52
09479126,        Höchstädt i.Fichtelgebirge,17,0,2,0,1,7,3
09479127,"        Hohenberg a.d.Eger, St",30,2,4,0,1,12,13
09479129,"        Kirchenlamitz, St",80,7,12,1,5,25,26
09479135,"        Marktleuthen, St",90,6,7,0,6,31,27
09479136,"        Marktredwitz, GKSt",485,73,42,8,42,106,134
09479138,        Nagel,34,2,5,0,4,7,6
09479145,        Röslau,43,6,6,0,5,13,9
09479147,"        Schirnding, M",40,10,4,0,1,14,11
09479150,"        Schönwald, St",74,6,6,0,6,18,26
09479152,"        Selb, GKSt",474,75,37,6,41,115,150
09479158,"        Thiersheim, M",46,4,4,1,5,19,14
09479159,"        Thierstein, M",27,2,2,0,1,3,4
09479161,        Tröstau,51,1,8,0,4,20,12
09479166,"        Weißenstadt, St",69,5,4,1,6,18,16
09479169,"        Wunsiedel, St",268,24,21,5,24,67,75
09479444,        Gem.fr. Geb. Wunsiedel i.Fichtelgebirge,x,x,x,x,x,x,x
095,"    Mittelfranken, Regierungsbezirk",45452,11338,5127,935,4679,9373,13670
09561000,      Ansbach,1075,207,104,25,138,215,238
09562000,      Erlangen,2487,566,309,35,209,507,982
09563000,      Fürth,4633,1311,508,102,452,833,1397
09564000,      Nürnberg,21302,7313,2389,409,2101,3899,7378
09565000,      Schwabach,969,204,99,21,108,191,303
09571,"      Ansbach, Landkreis",3090,371,350,75,351,798,744
09571111,        Adelshofen,11,0,2,1,2,2,-
09571113,"        Arberg, M",44,0,4,1,3,10,13
09571114,        Aurach,39,5,10,0,5,10,10
09571115,"        Bechhofen, M",125,10,16,2,14,40,33
09571122,        Bruckberg,14,2,2,0,2,4,2
09571125,        Buch a.Wald,8,0,-,0,2,3,1
09571127,        Burgoberbach,56,4,6,1,8,10,18
09571128,        Burk,20,1,2,0,3,5,6
09571130,"        Colmberg, M",31,2,2,1,4,9,5
09571132,"        Dentlein a.Forst, M",37,2,3,1,2,12,11
09571134,        Diebach,17,1,2,1,4,7,2
09571135,"        Dietenhofen, M",80,15,7,3,11,18,19
09571136,"        Dinkelsbühl, GKSt",298,33,24,5,27,69,83
09571137,"        Dombühl, M",28,5,2,0,3,11,5
09571139,"        Dürrwangen, M",29,1,4,1,5,5,7
09571141,        Ehingen,26,0,2,0,2,8,4
09571145,"        Feuchtwangen, St",258,69,25,11,35,55,63
09571146,"        Flachslanden, M",25,1,4,0,4,7,3
09571152,        Gebsattel,25,2,3,1,2,6,3
09571154,        Gerolfingen,18,0,1,0,1,5,2
09571155,        Geslau,13,1,2,0,1,4,2
09571165,"        Heilsbronn, St",175,40,14,4,18,42,41
09571166,"        Herrieden, St",99,8,10,2,8,31,24
09571169,        Insingen,8,1,1,0,2,0,1
09571170,        Langfurth,25,1,7,0,2,6,6
09571171,"        Lehrberg, M",54,6,7,1,3,13,10
09571174,"        Leutershausen, St",87,9,8,2,10,22,23
09571175,"        Lichtenau, M",75,5,13,1,6,28,36
09571177,"        Merkendorf, St",47,1,4,1,4,12,16
09571178,        Mitteleschenbach,25,1,1,0,2,5,4
09571179,        Mönchsroth,23,0,3,0,1,5,4
09571180,        Neuendettelsau,114,18,13,6,16,21,24
09571181,        Neusitz,27,2,5,1,4,5,3
09571183,        Oberdachstetten,25,1,4,0,2,11,8
09571188,        Ohrenbach,4,0,1,0,0,1,-
09571189,"        Ornbau, St",21,0,4,0,3,6,6
09571190,        Petersaurach,66,7,8,2,10,20,12
09571192,        Röckingen,10,0,2,0,2,2,2
09571193,"        Rothenburg ob der Tauber, GKSt",239,46,37,4,26,54,49
09571194,        Rügland,12,0,1,0,1,2,6
09571196,        Sachsen b.Ansbach,45,6,3,2,5,10,11
09571198,"        Schillingsfürst, St",48,4,5,2,7,13,12
09571199,        Schnelldorf,59,6,8,2,9,16,13
09571200,"        Schopfloch, M",67,9,9,1,6,21,13
09571205,        Steinsfeld,11,1,-,1,2,1,1
09571208,        Unterschwaningen,15,0,1,0,1,3,4
09571214,"        Wassertrüdingen, St",156,13,20,4,11,48,53
09571216,"        Weidenbach, M",29,2,4,1,4,9,7
09571217,        Weihenzell,33,2,3,1,4,7,7
09571218,"        Weiltingen, M",14,1,2,0,4,4,2
09571222,        Wettringen,9,0,1,0,1,3,-
09571223,        Wieseth,14,0,1,1,2,5,3
09571224,        Wilburgstetten,41,2,10,2,5,10,10
09571225,        Windelsbach,13,1,-,0,2,4,2
09571226,"        Windsbach, St",108,22,12,1,11,30,23
09571227,        Wittelshofen,14,1,2,0,2,5,3
09571228,        Wörnitz,26,2,2,1,3,11,4
09571229,"        Wolframs-Eschenbach, St",50,3,6,1,7,12,10
09571444,        Gem.fr. Geb. Ansbach,x,x,x,x,x,x,x
09572,"      Erlangen-Höchstadt, Landkreis",1780,192,170,30,190,428,357
09572111,        Adelsdorf,112,5,13,1,16,24,26
09572114,        Aurachtal,30,2,3,1,3,7,8
09572115,"        Baiersdorf, St",100,8,14,3,9,18,18
09572119,        Bubenreuth,45,5,3,0,4,10,9
09572120,        Buckenhof,30,5,2,0,3,6,4
09572121,"        Eckental, M",217,11,17,4,19,62,48
09572126,        Gremsdorf,13,0,-,0,2,3,3
09572127,        Großenseebach,26,2,1,0,2,13,9
09572130,        Hemhofen,76,6,5,2,10,20,10
09572131,"        Heroldsberg, M",93,13,10,2,9,21,20
09572132,"        Herzogenaurach, St",299,52,27,6,38,64,53
09572133,        Heßdorf,46,4,4,0,5,8,9
09572135,"        Höchstadt a.d.Aisch, St",244,42,25,6,28,58,54
09572137,        Kalchreuth,40,3,4,0,4,13,8
09572139,"        Lonnerstadt, M",29,2,1,0,4,9,8
09572141,        Marloffstein,17,0,3,0,1,7,3
09572142,        Möhrendorf,38,4,4,0,3,11,5
09572143,"        Mühlhausen, M",28,1,3,0,1,6,9
09572147,        Oberreichenbach,16,2,3,0,1,7,4
09572149,        Röttenbach,66,6,6,0,7,15,14
09572154,        Spardorf,18,1,1,0,1,3,3
09572158,        Uttenreuth,55,4,6,1,5,10,7
09572159,"        Vestenbergsgreuth, M",26,1,3,1,5,5,3
09572160,"        Wachenroth, M",34,5,3,0,3,8,9
09572164,"        Weisendorf, M",81,8,9,1,7,22,13
09572444,        Gem.fr. Geb. Erlangen-Höchstadt,x,x,x,x,x,x,x
09573,"      Fürth, Landkreis",2140,261,290,37,198,541,543
09573111,"        Ammerndorf, M",32,1,7,0,2,14,9
09573114,"        Cadolzburg, M",170,16,16,3,16,46,45
09573115,        Großhabersdorf,68,8,12,1,6,14,19
09573120,"        Langenzenn, St",198,22,33,3,16,56,49
09573122,"        Oberasbach, St",307,37,41,5,26,79,69
09573123,        Obermichelbach,39,2,4,0,3,11,7
09573124,        Puschendorf,28,2,3,0,3,12,7
09573125,"        Roßtal, M",147,9,17,1,11,40,40
09573126,        Seukendorf,40,4,6,1,4,12,5
09573127,"        Stein, St",307,54,52,5,28,85,92
09573129,        Tuchenbach,20,0,1,1,3,4,3
09573130,        Veitsbronn,116,8,14,2,14,21,23
09573133,"        Wilhermsdorf, M",93,8,17,2,13,21,16
09573134,"        Zirndorf, St",576,91,68,12,53,125,159
09574,"      Nürnberger Land, Landkreis",2771,366,363,59,315,691,605
09574111,        Alfeld,12,0,3,0,2,4,3
09574112,"        Altdorf b.Nürnberg, St",261,36,26,6,29,62,54
09574117,        Burgthann,156,9,21,3,18,46,40
09574120,        Engelthal,9,1,2,0,1,4,2
09574123,"        Feucht, M",241,45,25,3,22,63,62
09574128,        Happurg,66,3,10,2,6,22,14
09574129,        Hartenstein,18,0,2,1,4,4,4
09574131,        Henfenfeld,21,1,1,0,4,4,4
09574132,"        Hersbruck, St",274,45,44,6,34,63,59
09574135,        Kirchensittenbach,22,1,1,0,2,7,4
09574138,"        Lauf a.d.Pegnitz, St",474,90,66,5,46,114,115
09574139,        Leinburg,72,4,7,2,8,16,9
09574140,"        Neuhaus a.d.Pegnitz, M",51,2,6,0,6,13,13
09574141,        Neunkirchen a.Sand,71,9,9,2,7,22,11
09574145,        Offenhausen,24,0,2,1,3,7,3
09574146,        Ottensoos,24,2,3,0,2,8,4
09574147,        Pommelsbrunn,90,4,15,2,12,28,21
09574150,        Reichenschwand,36,3,7,1,4,9,4
09574152,"        Röthenbach a.d.Pegnitz, St",252,53,41,5,35,43,52
09574154,        Rückersdorf,49,6,6,0,4,12,5
09574155,"        Schnaittach, M",138,11,22,3,18,40,36
09574156,        Schwaig b.Nürnberg,129,20,12,3,11,26,29
09574157,        Schwarzenbruck,112,8,12,4,17,28,22
09574158,        Simmelsdorf,47,3,7,1,4,13,10
09574160,"        Velden, St",24,0,5,1,3,10,7
09574161,        Vorra,26,0,4,1,5,4,6
09574164,        Winkelhaid,70,6,6,1,7,21,16
09574444,        Gem.fr. Geb. Nürnberger Land,x,x,x,x,x,x,x
09575,"      Neustadt a.d.Aisch-Bad Windsheim, Landkreis",1399,114,151,42,194,293,246
09575112,"        Bad Windsheim, St",232,30,18,8,39,36,43
09575113,"        Baudenbach, M",13,0,1,1,2,3,3
09575115,"        Burgbernheim, St",40,3,6,1,6,7,8
09575116,"        Burghaslach, M",40,1,6,1,3,10,8
09575117,"        Dachsbach, M",18,1,1,0,2,5,3
09575118,        Diespeck,35,1,3,2,7,6,3
09575119,        Dietersheim,30,0,4,0,4,6,4
09575121,"        Emskirchen, M",77,7,6,1,8,17,10
09575122,        Ergersheim,15,1,-,0,2,4,4
09575124,        Gallmersgarten,9,0,2,0,1,4,2
09575125,        Gerhardshofen,24,1,2,0,4,6,3
09575127,        Gollhofen,12,0,2,1,2,3,2
09575128,        Gutenstetten,12,0,-,0,1,0,2
09575129,        Hagenbüchach,12,2,1,0,1,4,-
09575130,        Hemmersheim,9,0,2,0,1,3,2
09575133,        Illesheim,9,1,1,0,0,2,-
09575134,"        Ippesheim, M",10,0,2,0,1,5,2
09575135,"        Ipsheim, M",16,2,2,0,3,4,-
09575138,        Langenfeld,14,0,1,0,1,4,2
09575143,"        Marktbergel, M",30,1,4,0,2,8,5
09575144,"        Markt Bibart, M",26,2,2,1,4,7,5
09575145,"        Markt Erlbach, M",76,9,13,3,10,19,16
09575146,"        Markt Nordheim, M",13,0,-,1,4,2,-
09575147,"        Markt Taschendorf, M",16,0,1,0,1,3,2
09575150,        Münchsteinach,12,0,2,0,2,0,2
09575152,"        Neuhof a.d.Zenn, M",20,1,3,1,3,6,3
09575153,"        Neustadt a.d.Aisch, St",228,28,31,7,30,48,51
09575155,        Oberickelsheim,7,0,1,1,1,3,1
09575156,"        Obernzenn, M",32,1,2,1,4,10,6
09575157,"        Oberscheinfeld, M",15,1,1,0,2,2,2
09575161,"        Scheinfeld, St",72,2,5,3,12,9,10
09575163,        Simmershofen,7,0,2,0,0,1,2
