"","Schluessel","Name.y","Wahlberechtigte.btw","Wahlbeteiligung.btw","Gueltige.Zweitstimmen.btw","CDU.CSU.btw","SPD.btw","GRUENE.btw","FDP.btw","LINKE.btw","AfD.btw","Sonstige.Parteien.btw"
"2937",15089042,"        Boerdeland","6639","54,8","3554","1640","571","74","101","825","109","234"
"2938",15089043,"        Boerde-Hakel","2744","51,2","1378","598","231","24","34","343","52","96"
"2939",15089045,"        Borne","1076","54,6","580","224","123","9","9","151","24","40"
"2940",15089055,"        Calbe (Saale), Stadt","8231","47,6","3837","1566","766","88","87","953","149","228"
"2941",15089075,"        Egeln, Stadt","3026","48,0","1423","647","222","42","28","348","60","76"
"2942",15089130,"        Giersleben","921","52,7","470","193","92","11","10","120","17","27"
"2943",15089165,"        Guesten, Stadt","3772","50,3","1858","719","327","22","37","536","108","109"
"2944",15089175,"        Hecklingen, Stadt","6182","48,0","2913","1226","499","40","56","688","128","276"
"2945",15089185,"        Ilberstedt","934","56,2","514","197","83","16","9","154","27","28"
"2946",15089195,"        Koennern, Stadt","7450","49,8","3640","1512","566","69","110","1024","146","213"
"2947",15089235,"        Nienburg (Saale), Stadt","5821","54,4","3091","1335","554","66","82","747","120","187"
"2948",15089245,"        Ploetzkau","1133","58,8","651","246","91","18","22","207","27","40"
"2949",15089305,"        Schoenebeck (Elbe), Stadt","27752","54,4","14823","6067","3051","407","348","3584","631","735"
"2950",15089307,"        Seeland, Stadt","7281","53,8","3859","1659","606","114","96","1020","124","240"
"2951",15089310,"        Staßfurt, Stadt","23872","47,6","11122","4571","1936","244","263","3020","457","631"
"2952",15089365,"        Wolmirsleben","1191","52,5","617","263","100","18","14","145","31","46"
"2953",15090003,"        Aland","1212","59,2","709","322","96","27","14","177","20","53"
"2954",15090007,"        Altmaerkische Hoehe","1694","59,9","997","509","180","17","22","194","27","48"
"2955",15090008,"        Altmaerkische Wische","735","60,3","434","196","103","11","10","99","7","8"
"2956",15090010,"        Arneburg, Stadt","1397","59,2","796","331","152","18","18","204","33","40"
"2957",15090070,"        Bismark (Altmark), Stadt","7331","56,9","4121","1810","802","122","88","931","116","252"
"2958",15090135,"        Eichstedt (Altmark)","778","68,1","519","254","88","10","7","126","9","25"
"2959",15090180,"        Goldbeck","1246","55,8","683","281","144","10","16","169","19","44"
"2960",15090220,"        Hassel","807","66,4","524","239","102","14","6","111","29","23"
"2961",15090225,"        Havelberg, Hansestadt","5791","52,7","3015","1142","590","80","56","874","114","159"
"2962",15090245,"        Hohenberg-Krusemark","1080","60,7","642","245","144","29","12","148","20","44"
"2963",15090270,"        Iden","789","59,7","466","173","94","18","6","141","7","27"
"2964",15090285,"        Kamern","1109","55,4","605","278","112","14","13","133","21","34"
"2965",15090310,"        Klietz","1343","57,3","758","265","155","11","23","224","32","48"
"2966",15090415,"        Osterburg (Altmark), Hansestadt","9101","52,6","4701","1991","907","122","90","1235","127","229"
"2967",15090435,"        Rochau","932","65,5","603","279","105","16","10","134","26","33"
"2968",15090445,"        Sandau (Elbe), Stadt","783","58,1","452","181","91","7","8","122","20","23"
"2969",15090485,"        Schollene","1058","53,8","556","212","106","22","8","145","35","28"
"2970",15090500,"        Schoenhausen (Elbe)","1898","53,8","1002","417","200","16","30","224","38","77"
"2971",15090520,"        Seehausen (Altmark), Hansestadt","4438","52,6","2303","978","411","72","52","622","70","98"
"2972",15090535,"        Stendal, Hansestadt","33556","49,8","16425","6705","3253","500","322","4099","637","909"
"2973",15090546,"        Tangerhuette, Stadt","9606","54,7","5154","2307","924","108","96","1219","191","309"
"2974",15090550,"        Tangermuende, Stadt","9123","53,1","4760","1986","897","118","93","1199","224","243"
"2975",15090610,"        Werben (Elbe), Hansestadt","999","69,6","669","283","121","17","12","165","17","54"
"2976",15090631,"        Wust-Fischbeck","1129","59,5","660","308","108","22","13","139","35","35"
"2977",15090635,"        Zehrental","794","58,4","459","211","95","15","7","100","17","14"
"2978",15091010,"        Annaburg, Stadt","6122","54,8","3273","1346","496","78","87","778","194","294"
"2979",15091020,"        Bad Schmiedeberg, Stadt","7566","57,5","4284","1909","740","134","112","911","192","286"
"2980",15091060,"        Coswig (Anhalt), Stadt","10851","58,1","6218","2616","1068","217","148","1446","338","385"
"2981",15091110,"        Graefenhainichen, Stadt","10747","54,9","5799","2463","813","147","128","1496","289","463"
"2982",15091145,"        Jessen (Elster), Stadt","12453","55,8","6842","2897","1125","183","159","1704","326","448"
"2983",15091160,"        Kemberg, Stadt","9137","60,3","5417","2559","876","139","130","1136","263","314"
"2984",15091241,"        Oranienbaum-Woerlitz, Stadt","7358","58,9","4239","1849","653","136","94","956","221","330"
"2985",15091375,"        Wittenberg, Lutherstadt","41131","53,8","21810","9553","3813","696","476","4854","1024","1394"
